Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,736.000000,752.000000,732.000000,750.900024,749.758789,9686490
2021-06-16,748.799988,756.849976,746.250000,749.799988,748.660400,8614096
2021-06-17,741.950012,745.400024,736.000000,738.599976,737.477417,6674329
2021-06-18,742.150024,743.200012,722.250000,736.299988,735.180908,8143792
2021-06-21,725.000000,740.900024,720.500000,739.549988,738.425964,6464497
2021-06-22,743.200012,749.000000,737.049988,739.349976,738.226257,6727233
2021-06-23,743.200012,743.750000,730.799988,732.349976,731.236877,6154147
2021-06-24,735.900024,742.950012,731.099976,739.150024,738.026611,5313822
2021-06-25,737.549988,765.950012,737.549988,761.349976,760.192810,11170037
2021-06-28,764.549988,769.599976,757.750000,762.400024,761.241272,7672743
2021-06-29,761.000000,763.549988,750.049988,751.950012,750.807129,7500655
2021-06-30,752.500000,760.500000,746.549988,748.299988,747.162659,5459970
2021-07-01,750.000000,754.400024,744.500000,746.450012,745.315491,5695690
2021-07-02,747.599976,752.849976,744.000000,750.650024,749.509155,3557647
2021-07-05,757.099976,762.000000,753.400024,760.349976,759.194336,4680089
2021-07-06,757.000000,767.000000,755.200012,758.349976,757.197388,5529485
2021-07-07,755.900024,764.000000,752.250000,762.900024,761.740540,3573368
2021-07-08,760.000000,767.150024,751.700012,754.400024,753.253418,4188267
2021-07-09,752.000000,752.900024,740.250000,747.349976,746.214111,5782119
2021-07-12,752.500000,757.799988,748.299988,753.599976,752.454590,4475466
2021-07-13,759.000000,773.000000,755.000000,770.750000,769.578552,9810976
2021-07-14,770.950012,773.450012,764.000000,770.049988,768.879639,5621924
2021-07-15,770.500000,778.250000,766.500000,774.150024,772.973450,4239868
2021-07-16,776.000000,776.000000,766.549988,771.150024,769.977966,2913553
2021-07-19,752.299988,766.650024,749.599976,755.200012,754.052185,5554486
2021-07-20,755.000000,755.200012,744.200012,745.750000,744.616577,5815740
2021-07-22,750.099976,758.500000,741.000000,746.750000,745.615051,7876163
2021-07-23,749.000000,764.000000,740.099976,755.400024,754.251953,6604465
2021-07-26,754.000000,760.000000,745.000000,756.299988,755.150513,7890992
2021-07-27,750.500000,756.000000,729.099976,731.700012,730.587952,15441543
2021-07-28,734.799988,734.799988,712.099976,722.900024,721.801331,11102486
2021-07-29,720.000000,728.500000,716.000000,717.250000,716.159851,6855673
2021-07-30,718.049988,718.650024,707.150024,708.900024,707.822571,10358450
2021-08-02,715.000000,725.549988,712.000000,721.150024,720.053955,6823345
2021-08-03,724.000000,740.849976,719.299988,738.599976,737.477417,9265839
2021-08-04,740.500000,757.000000,738.650024,753.799988,752.654297,9744349
2021-08-05,753.000000,755.000000,743.500000,749.299988,748.161133,7246991
2021-08-06,747.000000,757.650024,738.799988,740.849976,739.723999,6522599
2021-08-09,741.000000,757.400024,739.750000,755.500000,754.351746,6064688
2021-08-10,755.500000,764.000000,755.000000,761.549988,760.392517,8309248
2021-08-11,765.000000,769.000000,752.500000,760.799988,759.643677,6429468
2021-08-12,759.000000,763.400024,753.349976,757.349976,756.198914,3572081
2021-08-13,757.500000,764.500000,754.200012,759.900024,758.745056,4239376
2021-08-16,756.000000,765.799988,756.000000,762.000000,760.841858,3967629
2021-08-17,759.000000,760.000000,749.299988,756.750000,755.599854,5576110
2021-08-18,763.799988,763.799988,750.500000,754.400024,753.253418,5370460
2021-08-20,745.799988,749.000000,736.200012,740.250000,739.124939,6092036
2021-08-23,749.500000,749.500000,734.400024,736.099976,734.981201,3614761
2021-08-24,736.000000,749.700012,731.500000,746.349976,745.215637,4537435
2021-08-25,748.200012,751.450012,735.200012,739.049988,737.926758,6726509
2021-08-26,734.099976,750.000000,732.349976,746.349976,745.215637,6492155
2021-08-27,746.500000,759.599976,741.000000,752.400024,751.256470,5841967
2021-08-30,756.000000,789.500000,754.000000,784.049988,782.858337,12517507
